participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,avnydzjr,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,300,-148,12,-4,0,0,4,10,8,2,0,10,4,0,0,-2,0,4,60,4,0,0,0,22,22,6,6,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
2,n0wkni47,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,390,-114,6,0,0,0,2,40,6,2,0,35,2,0,0,-2,2,2,60,2,0,0,0,14,14,4,4,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
3,0hcfd9ib,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,260,211,8,0,0,0,8,30,8,2,-1,40,2,2,40,-1,3,-3,0,0,3,50,0,19,19,7,7,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
4,l3xbnn7g,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,466,-160,0,0,0,0,0,0,0,8,4,50,4,0,0,-12,0,0,0,0,0,0,0,-26,-26,-12,-12,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
5,ih5zksdd,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,396,-154,2,2,30,2,0,0,4,8,0,35,2,0,0,-8,0,2,65,2,0,0,0,-16,-16,-4,-4,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
6,1bjrkr2b,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,396,120,2,0,0,0,2,30,2,8,-3,0,0,3,30,-5,0,0,0,0,0,0,0,-15,-15,-3,-3,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
7,xlafzq6t,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,280,245,0,2,20,3,0,0,2,0,0,20,3,0,0,0,10,-5,0,0,5,55,0,2,2,2,2,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
8,h6pgmbw9,0,184,183,etfs,Adios,128.200.135.218,2018-10-24 20:23:08.845384+00:00,1,,,926.1,8,280,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,61,1,1,59,0,0,0,0,0,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
9,ck0yqaql,0,184,183,etfs,Adios,128.200.135.199,2018-10-24 20:23:08.956154+00:00,1,,,495,9,580,57,0,0,10,7,0,0,0,0,0,6,6,0,0,0,5,-1,0,0,1,5,0,0,0,0,0,1,20,40,60,20,4,1,40,5,-1,57,9,0,3,3,clpcm192
1,avnydzjr,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,152,-50,8,2,25,5,0,0,-10,2,0,0,0,0,20,2,4,0,10,1,0,0,0,14,14,-8,-8,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
